Placemark,LL Lon,LL Lat,UR Lon,UR Lat
6_26,-61.086,48.254,-57.861,49.458
6_27,-61.601,46.831,-58.473,48.048
6_28,-62.095,45.406,-59.057,46.635
6_29,-62.571,43.979,-59.615,45.219
6_30,-63.03,42.551,-60.151,43.802
7_26,-62.631,48.254,-59.406,49.458
7_27,-63.146,46.831,-60.018,48.048
7_28,-63.641,45.406,-60.602,46.635
7_29,-64.116,43.979,-61.16,45.219
7_30,-64.575,42.551,-61.696,43.802
8_26,-64.176,48.254,-60.951,49.458
8_27,-64.691,46.831,-61.563,48.048
8_28,-65.186,45.406,-62.147,46.635
8_29,-65.661,43.979,-62.706,45.219
8_30,-66.12,42.551,-63.241,43.802
9_26,-65.721,48.254,-62.496,49.458
9_27,-66.236,46.831,-63.108,48.048
9_28,-66.731,45.406,-63.692,46.635
9_29,-67.206,43.979,-64.251,45.219
9_30,-67.665,42.551,-64.786,43.802
10_26,-67.266,48.254,-64.041,49.458
10_27,-67.781,46.831,-64.653,48.048
10_28,-68.276,45.406,-65.237,46.635
10_29,-68.752,43.979,-65.796,45.219
10_30,-69.211,42.551,-66.331,43.802
