Placemark,LL Lon,LL Lat,UR Lon,UR Lat
16_26,-76.537,48.254,-73.311,49.458
16_27,-77.052,46.831,-73.923,48.048
16_28,-77.546,45.406,-74.507,46.635
16_29,-78.022,43.979,-75.066,45.219
16_30,-78.481,42.551,-75.602,43.802
17_26,-78.082,48.254,-74.856,49.458
17_27,-78.597,46.831,-75.468,48.048
17_28,-79.091,45.406,-76.052,46.635
17_29,-79.567,43.979,-76.611,45.219
17_30,-80.026,42.551,-77.147,43.802
18_26,-79.627,48.254,-76.401,49.458
18_27,-80.142,46.831,-77.013,48.048
18_28,-80.636,45.406,-77.597,46.635
18_29,-81.112,43.979,-78.156,45.219
18_30,-81.571,42.551,-78.692,43.802
19_26,-81.172,48.254,-77.946,49.458
19_27,-81.687,46.831,-78.558,48.048
19_28,-82.181,45.406,-79.143,46.635
19_29,-82.657,43.979,-79.701,45.219
19_30,-83.116,42.551,-80.237,43.802
20_26,-82.717,48.254,-79.492,49.458
20_27,-83.232,46.831,-80.104,48.048
20_28,-83.726,45.406,-80.688,46.635
20_29,-84.202,43.979,-81.246,45.219
20_30,-84.661,42.551,-81.782,43.802
