Placemark,LL Lon,LL Lat,UR Lon,UR Lat
173_30,38.944,42.551,41.823,43.802
174_29,37.858,43.979,40.814,45.219
174_30,37.399,42.551,40.278,43.802
172_30,40.489,42.551,43.368,43.802
175_27,37.283,46.831,40.411,48.048
175_28,36.789,45.406,39.827,46.635
175_29,36.313,43.979,39.269,45.219
176_27,35.738,46.831,38.866,48.048
176_28,35.244,45.406,38.282,46.635
176_29,34.768,43.979,37.724,45.219
177_27,34.193,46.831,37.321,48.048
177_28,33.699,45.406,36.737,46.635
177_29,33.223,43.979,36.179,45.219
178_28,32.153,45.406,35.192,46.635
178_29,31.678,43.979,34.634,45.219
179_28,30.608,45.406,33.647,46.635
