Placemark,LL Lon,LL Lat,UR Lon,UR Lat
95_87,139.479,-39.536,142.16,-38.258
96_86,138.397,-38.111,141.021,-36.825
95_86,139.942,-38.111,142.566,-36.825
90_86,147.668,-38.111,150.291,-36.825
90_87,147.205,-39.536,149.885,-38.258
90_88,146.726,-40.96,149.468,-39.69
90_89,146.23,-42.382,149.038,-41.121
90_90,145.715,-43.802,148.594,-42.551
91_86,146.123,-38.111,148.746,-36.825
91_87,145.66,-39.536,148.34,-38.258
91_89,144.685,-42.382,147.493,-41.121
91_90,144.17,-43.802,147.049,-42.551
92_87,144.115,-39.536,146.795,-38.258
92_88,143.636,-40.96,146.378,-39.69
92_89,143.14,-42.382,145.948,-41.121
93_86,143.032,-38.111,145.656,-36.825
93_87,142.57,-39.536,145.25,-38.258
93_88,142.091,-40.96,144.833,-39.69
94_87,141.025,-39.536,143.705,-38.258
