Placemark,LL Lon,LL Lat,UR Lon,UR Lat
91_16,174.572,62.341,179.43,63.329
91_17,173.65,60.948,178.264,61.969
91_18,172.795,59.551,177.19,60.601
91_19,171.999,58.15,176.197,59.226
91_20,171.255,56.745,175.273,57.844
92_16,173.027,62.341,177.885,63.329
92_17,172.105,60.948,176.719,61.969
92_18,171.25,59.551,175.645,60.601
92_19,170.454,58.15,174.652,59.226
92_20,169.71,56.745,173.728,57.844
93_16,171.482,62.341,176.34,63.329
93_17,170.56,60.948,175.174,61.969
93_18,169.705,59.551,174.1,60.601
93_19,168.909,58.15,173.106,59.226
93_20,168.165,56.745,172.183,57.844
94_16,169.937,62.341,174.795,63.329
94_17,169.014,60.948,173.629,61.969
94_18,168.16,59.551,172.555,60.601
94_19,167.364,58.15,171.561,59.226
94_20,166.62,56.745,170.638,57.844
95_16,168.392,62.341,173.25,63.329
95_17,167.469,60.948,172.084,61.969
95_18,166.615,59.551,171.01,60.601
95_19,165.819,58.15,170.016,59.226
95_20,165.075,56.745,169.093,57.844
