Placemark,LL Lon,LL Lat,UR Lon,UR Lat
56_16,-131.351,62.341,-126.493,63.329
56_17,-132.273,60.948,-127.659,61.969
56_18,-133.128,59.551,-128.733,60.601
56_19,-133.923,58.15,-129.726,59.226
56_20,-134.667,56.745,-130.65,57.844
57_16,-132.896,62.341,-128.038,63.329
57_17,-133.818,60.948,-129.204,61.969
57_18,-134.673,59.551,-130.278,60.601
57_19,-135.468,58.15,-131.271,59.226
57_20,-136.212,56.745,-132.195,57.844
58_16,-134.441,62.341,-129.583,63.329
58_17,-135.363,60.948,-130.749,61.969
58_18,-136.218,59.551,-131.823,60.601
58_19,-137.014,58.15,-132.816,59.226
58_20,-137.758,56.745,-133.74,57.844
59_16,-135.986,62.341,-131.128,63.329
59_17,-136.908,60.948,-132.294,61.969
59_18,-137.763,59.551,-133.368,60.601
59_19,-138.559,58.15,-134.361,59.226
59_20,-139.303,56.745,-135.285,57.844
60_16,-137.531,62.341,-132.673,63.329
60_17,-138.453,60.948,-133.839,61.969
60_18,-139.308,59.551,-134.913,60.601
60_19,-140.104,58.15,-135.906,59.226
60_20,-140.848,56.745,-136.83,57.844
