Placemark,LL Lon,LL Lat,UR Lon,UR Lat
81_16,-169.977,62.341,-165.12,63.329
81_17,-170.9,60.948,-166.285,61.969
81_18,-171.754,59.551,-167.359,60.601
81_19,-172.55,58.15,-168.353,59.226
81_20,-173.294,56.745,-169.276,57.844
82_16,-171.522,62.341,-166.665,63.329
82_17,-172.445,60.948,-167.83,61.969
82_18,-173.299,59.551,-168.904,60.601
82_19,-174.095,58.15,-169.898,59.226
82_20,-174.839,56.745,-170.821,57.844
83_16,-173.067,62.341,-168.21,63.329
83_17,-173.99,60.948,-169.376,61.969
83_18,-174.845,59.551,-170.449,60.601
83_19,-175.64,58.15,-171.443,59.226
83_20,-176.384,56.745,-172.366,57.844
84_16,-174.612,62.341,-169.755,63.329
84_17,-175.535,60.948,-170.921,61.969
84_18,-176.39,59.551,-171.994,60.601
84_19,-177.185,58.15,-172.988,59.226
84_20,-177.929,56.745,-173.911,57.844
85_16,-176.157,62.341,-171.3,63.329
85_17,-177.08,60.948,-172.466,61.969
85_18,-177.935,59.551,-173.539,60.601
85_19,-178.73,58.15,-174.533,59.226
85_20,-179.474,56.745,-175.456,57.844
