Placemark,LL Lon,LL Lat,UR Lon,UR Lat
16_16,-69.548,62.341,-64.69,63.329
16_17,-70.471,60.948,-65.856,61.969
16_18,-71.325,59.551,-66.93,60.601
16_19,-72.121,58.15,-67.924,59.226
16_20,-72.865,56.745,-68.847,57.844
17_16,-71.093,62.341,-66.235,63.329
17_17,-72.016,60.948,-67.401,61.969
17_18,-72.87,59.551,-68.475,60.601
17_19,-73.666,58.15,-69.469,59.226
17_20,-74.41,56.745,-70.392,57.844
18_16,-72.638,62.341,-67.78,63.329
18_17,-73.561,60.948,-68.946,61.969
18_18,-74.415,59.551,-70.02,60.601
18_19,-75.211,58.15,-71.014,59.226
18_20,-75.955,56.745,-71.937,57.844
19_16,-74.183,62.341,-69.326,63.329
19_17,-75.106,60.948,-70.491,61.969
19_18,-75.96,59.551,-71.565,60.601
19_19,-76.756,58.15,-72.559,59.226
19_20,-77.5,56.745,-73.482,57.844
20_16,-75.728,62.341,-70.871,63.329
20_17,-76.651,60.948,-72.036,61.969
20_18,-77.505,59.551,-73.11,60.601
20_19,-78.301,58.15,-74.104,59.226
20_20,-79.045,56.745,-75.027,57.844
