Placemark,LL Lon,LL Lat,UR Lon,UR Lat
96_16,166.847,62.341,171.705,63.329
96_17,165.924,60.948,170.539,61.969
96_18,165.07,59.551,169.465,60.601
96_19,164.274,58.15,168.471,59.226
96_20,163.53,56.745,167.548,57.844
97_16,165.302,62.341,170.159,63.329
97_17,164.379,60.948,168.994,61.969
97_18,163.525,59.551,167.92,60.601
97_19,162.729,58.15,166.926,59.226
97_20,161.985,56.745,166.003,57.844
98_16,163.757,62.341,168.614,63.329
98_17,162.834,60.948,167.449,61.969
98_18,161.98,59.551,166.375,60.601
98_19,161.184,58.15,165.381,59.226
98_20,160.44,56.745,164.458,57.844
99_16,162.212,62.341,167.069,63.329
99_17,161.289,60.948,165.903,61.969
99_18,160.434,59.551,164.83,60.601
99_19,159.639,58.15,163.836,59.226
99_20,158.895,56.745,162.913,57.844
100_16,160.667,62.341,165.524,63.329
100_17,159.744,60.948,164.358,61.969
100_18,158.889,59.551,163.285,60.601
100_19,158.094,58.15,162.291,59.226
100_20,157.35,56.745,161.368,57.844
