Placemark,LL Lon,LL Lat,UR Lon,UR Lat
206_16,-3.11,62.341,1.747,63.329
206_17,-4.033,60.948,0.582,61.969
206_18,-4.887,59.551,-0.492,60.601
206_19,-5.683,58.15,-1.486,59.226
206_20,-6.427,56.745,-2.409,57.844
207_16,-4.655,62.341,0.202,63.329
207_17,-5.578,60.948,-0.963,61.969
207_18,-6.433,59.551,-2.037,60.601
207_19,-7.228,58.15,-3.031,59.226
207_20,-7.972,56.745,-3.954,57.844
208_16,-6.2,62.341,-1.343,63.329
208_17,-7.123,60.948,-2.509,61.969
208_18,-7.978,59.551,-3.582,60.601
208_19,-8.773,58.15,-4.576,59.226
208_20,-9.517,56.745,-5.499,57.844
209_16,-7.745,62.341,-2.888,63.329
209_17,-8.668,60.948,-4.054,61.969
209_18,-9.523,59.551,-5.127,60.601
209_19,-10.318,58.15,-6.121,59.226
209_20,-11.062,56.745,-7.044,57.844
210_16,-9.29,62.341,-4.433,63.329
210_17,-10.213,60.948,-5.599,61.969
210_18,-11.068,59.551,-6.672,60.601
210_19,-11.863,58.15,-7.666,59.226
210_20,-12.607,56.745,-8.59,57.844
