Placemark,LL Lon,LL Lat,UR Lon,UR Lat
51_116,163.754,-78.048,175.42,-78.095
52_116,162.209,-78.048,173.875,-78.095
50_116,165.299,-78.048,176.965,-78.095
49_116,166.844,-78.048,178.51,-78.095
31_116,-165.344,-78.048,-153.679,-78.095
32_117,-172.693,-78.936,-160.058,-79.196
35_116,-171.525,-78.048,-159.859,-78.095
35_117,-177.329,-78.936,-164.693,-79.196
