Placemark,LL Lon,LL Lat,UR Lon,UR Lat
115_41,124.268,26.763,126.59,28.091
115_42,123.925,25.322,126.215,26.655
115_43,123.586,23.881,125.847,25.218
115_44,123.253,22.439,125.486,23.78
115_45,122.923,20.996,125.132,22.34
116_41,122.723,26.763,125.045,28.091
116_42,122.38,25.322,124.67,26.655
116_43,122.041,23.881,124.302,25.218
116_44,121.708,22.439,123.941,23.78
116_45,121.378,20.996,123.587,22.34
117_41,121.178,26.763,123.5,28.091
117_42,120.835,25.322,123.125,26.655
117_43,120.496,23.881,122.757,25.218
117_44,120.163,22.439,122.396,23.78
117_45,119.833,20.996,122.042,22.34
118_41,119.633,26.763,121.955,28.091
118_42,119.29,25.322,121.58,26.655
118_43,118.951,23.881,121.212,25.218
118_44,118.617,22.439,120.851,23.78
118_45,118.288,20.996,120.496,22.34
119_41,118.088,26.763,120.41,28.091
119_42,117.745,25.322,120.035,26.655
119_43,117.406,23.881,119.667,25.218
119_44,117.072,22.439,119.306,23.78
119_45,116.743,20.996,118.951,22.34
