Placemark,LL Lon,LL Lat,UR Lon,UR Lat
150_41,70.191,26.763,72.513,28.091
150_42,69.848,25.322,72.138,26.655
150_43,69.509,23.881,71.77,25.218
150_44,69.175,22.439,71.409,23.78
150_45,68.846,20.996,71.054,22.34
151_41,68.646,26.763,70.968,28.091
151_42,68.302,25.322,70.593,26.655
151_43,67.964,23.881,70.225,25.218
151_44,67.63,22.439,69.864,23.78
151_45,67.301,20.996,69.509,22.34
152_41,67.101,26.763,69.423,28.091
152_42,66.757,25.322,69.047,26.655
152_43,66.419,23.881,68.68,25.218
152_44,66.085,22.439,68.319,23.78
152_45,65.756,20.996,67.964,22.34
153_41,65.556,26.763,67.878,28.091
153_42,65.212,25.322,67.502,26.655
153_43,64.874,23.881,67.135,25.218
153_44,64.54,22.439,66.774,23.78
153_45,64.211,20.996,66.419,22.34
154_41,64.011,26.763,66.332,28.091
154_42,63.667,25.322,65.957,26.655
154_43,63.329,23.881,65.59,25.218
154_44,62.995,22.439,65.229,23.78
154_45,62.666,20.996,64.874,22.34
