Placemark,LL Lon,LL Lat,UR Lon,UR Lat
226_93,-66.092,-48.048,-62.964,-46.831
227_91,-66.494,-45.219,-63.539,-43.979
227_93,-67.637,-48.048,-64.509,-46.831
227_94,-68.249,-49.458,-65.024,-48.254
227_95,-68.892,-50.865,-65.561,-49.675
228_91,-68.04,-45.219,-65.084,-43.979
228_92,-68.598,-46.635,-65.56,-45.406
228_93,-69.182,-48.048,-66.054,-46.831
228_94,-69.794,-49.458,-66.569,-48.254
228_95,-70.437,-50.865,-67.106,-49.675
229_91,-69.585,-45.219,-66.629,-43.979
229_92,-70.143,-46.635,-67.105,-45.406
232_91,-74.22,-45.219,-71.264,-43.979
232_92,-74.779,-46.635,-71.74,-45.406
232_93,-75.363,-48.048,-72.234,-46.831
232_94,-75.975,-49.458,-72.749,-48.254
232_95,-76.618,-50.865,-73.287,-49.675
233_91,-75.765,-45.219,-72.809,-43.979
233_92,-76.324,-46.635,-73.285,-45.406
233_93,-76.908,-48.048,-73.779,-46.831
233_94,-77.52,-49.458,-74.294,-48.254
233_95,-78.163,-50.865,-74.832,-49.675
