Placemark,LL Lon,LL Lat,UR Lon,UR Lat
74_92,169.342,-46.635,172.38,-45.406
73_91,171.445,-45.219,174.401,-43.979
74_91,169.9,-45.219,172.856,-43.979
75_91,168.355,-45.219,171.311,-43.979
75_92,167.797,-46.635,170.835,-45.406
75_93,167.213,-48.048,170.341,-46.831
75_95,165.958,-50.865,169.288,-49.675
76_91,166.81,-45.219,169.766,-43.979
76_92,166.252,-46.635,169.29,-45.406
76_93,165.667,-48.048,168.796,-46.831
76_95,164.413,-50.865,167.743,-49.675
77_91,165.265,-45.219,168.221,-43.979
77_92,164.706,-46.635,167.745,-45.406
