Placemark,LL Lon,LL Lat,UR Lon,UR Lat
205_46,-16.459,19.553,-14.273,20.901
205_47,-16.781,18.109,-14.617,19.46
205_48,-17.101,16.665,-14.955,18.019
205_49,-17.417,15.22,-15.29,16.577
205_50,-17.732,13.776,-15.62,15.134
206_46,-18.004,19.553,-15.818,20.901
206_47,-18.326,18.109,-16.162,19.46
206_48,-18.646,16.665,-16.5,18.019
206_49,-18.962,15.22,-16.835,16.577
206_50,-19.277,13.776,-17.165,15.134
207_46,-19.549,19.553,-17.363,20.901
207_47,-19.871,18.109,-17.707,19.46
207_48,-20.191,16.665,-18.045,18.019
207_49,-20.508,15.22,-18.38,16.577
207_50,-20.822,13.776,-18.71,15.134
208_46,-21.094,19.553,-18.908,20.901
208_47,-21.416,18.109,-19.252,19.46
208_48,-21.736,16.665,-19.59,18.019
208_49,-22.053,15.22,-19.925,16.577
208_50,-22.367,13.776,-20.255,15.134
209_46,-22.639,19.553,-20.453,20.901
209_47,-22.961,18.109,-20.797,19.46
209_48,-23.281,16.665,-21.136,18.019
209_49,-23.598,15.22,-21.47,16.577
209_50,-23.912,13.776,-21.8,15.134
210_46,-24.184,19.553,-21.998,20.901
210_47,-24.506,18.109,-22.342,19.46
210_48,-24.826,16.665,-22.681,18.019
210_49,-25.143,15.22,-23.015,16.577
210_50,-25.457,13.776,-23.345,15.134
