Placemark,LL Lon,LL Lat,UR Lon,UR Lat
21_46,-92.167,19.553,-89.981,20.901
21_47,-92.489,18.109,-90.325,19.46
21_48,-92.809,16.665,-90.663,18.019
21_49,-93.126,15.22,-90.998,16.577
21_50,-93.44,13.776,-91.328,15.134
22_46,-93.712,19.553,-91.526,20.901
22_47,-94.034,18.109,-91.87,19.46
22_48,-94.354,16.665,-92.208,18.019
22_49,-94.671,15.22,-92.543,16.577
22_50,-94.985,13.776,-92.873,15.134
23_46,-95.257,19.553,-93.071,20.901
23_47,-95.579,18.109,-93.415,19.46
23_48,-95.899,16.665,-93.754,18.019
23_49,-96.216,15.22,-94.088,16.577
23_50,-96.53,13.776,-94.418,15.134
24_46,-96.802,19.553,-94.616,20.901
24_47,-97.124,18.109,-94.96,19.46
24_48,-97.444,16.665,-95.299,18.019
24_49,-97.761,15.22,-95.633,16.577
24_50,-98.075,13.776,-95.963,15.134
25_46,-98.347,19.553,-96.161,20.901
25_47,-98.67,18.109,-96.505,19.46
25_48,-98.989,16.665,-96.844,18.019
25_49,-99.306,15.22,-97.178,16.577
25_50,-99.62,13.776,-97.508,15.134
