Placemark,LL Lon,LL Lat,UR Lon,UR Lat
11_46,-76.716,19.553,-74.531,20.901
11_47,-77.039,18.109,-74.874,19.46
11_48,-77.358,16.665,-75.213,18.019
11_49,-77.675,15.22,-75.547,16.577
11_50,-77.989,13.776,-75.877,15.134
12_46,-78.261,19.553,-76.076,20.901
12_47,-78.584,18.109,-76.419,19.46
12_48,-78.903,16.665,-76.758,18.019
12_49,-79.22,15.22,-77.092,16.577
12_50,-79.535,13.776,-77.422,15.134
13_46,-79.806,19.553,-77.621,20.901
13_47,-80.129,18.109,-77.964,19.46
13_48,-80.448,16.665,-78.303,18.019
13_49,-80.765,15.22,-78.637,16.577
13_50,-81.08,13.776,-78.967,15.134
14_46,-81.351,19.553,-79.166,20.901
14_47,-81.674,18.109,-79.509,19.46
14_48,-81.993,16.665,-79.848,18.019
14_49,-82.31,15.22,-80.182,16.577
14_50,-82.625,13.776,-80.512,15.134
15_46,-82.896,19.553,-80.711,20.901
15_47,-83.219,18.109,-81.054,19.46
15_48,-83.538,16.665,-81.393,18.019
15_49,-83.855,15.22,-81.727,16.577
15_50,-84.17,13.776,-82.058,15.134
