Placemark,LL Lon,LL Lat,UR Lon,UR Lat
165_46,45.344,19.553,47.53,20.901
165_47,45.021,18.109,47.186,19.46
165_48,44.702,16.665,46.847,18.019
165_49,44.385,15.22,46.513,16.577
165_50,44.071,13.776,46.183,15.134
166_46,43.799,19.553,45.985,20.901
166_47,43.476,18.109,45.641,19.46
166_48,43.157,16.665,45.302,18.019
166_49,42.84,15.22,44.968,16.577
166_50,42.526,13.776,44.638,15.134
167_46,42.254,19.553,44.439,20.901
167_47,41.931,18.109,44.096,19.46
167_48,41.612,16.665,43.757,18.019
167_49,41.295,15.22,43.423,16.577
167_50,40.98,13.776,43.093,15.134
168_46,40.709,19.553,42.894,20.901
168_47,40.386,18.109,42.551,19.46
168_48,40.067,16.665,42.212,18.019
168_49,39.75,15.22,41.878,16.577
168_50,39.435,13.776,41.548,15.134
169_46,39.164,19.553,41.349,20.901
169_47,38.841,18.109,41.006,19.46
169_48,38.522,16.665,40.667,18.019
169_49,38.205,15.22,40.333,16.577
169_50,37.89,13.776,40.003,15.134
