Placemark,LL Lon,LL Lat,UR Lon,UR Lat
160_46,53.069,19.553,55.255,20.901
160_47,52.747,18.109,54.911,19.46
160_48,52.427,16.665,54.573,18.019
160_49,52.11,15.22,54.238,16.577
160_50,51.796,13.776,53.908,15.134
161_46,51.524,19.553,53.71,20.901
161_47,51.202,18.109,53.366,19.46
161_48,50.882,16.665,53.028,18.019
161_49,50.565,15.22,52.693,16.577
161_50,50.251,13.776,52.363,15.134
162_46,49.979,19.553,52.165,20.901
162_47,49.657,18.109,51.821,19.46
162_48,49.337,16.665,51.482,18.019
162_49,49.02,15.22,51.148,16.577
162_50,48.706,13.776,50.818,15.134
163_46,48.434,19.553,50.62,20.901
163_47,48.112,18.109,50.276,19.46
163_48,47.792,16.665,49.937,18.019
163_49,47.475,15.22,49.603,16.577
163_50,47.161,13.776,49.273,15.134
164_46,46.889,19.553,49.075,20.901
164_47,46.567,18.109,48.731,19.46
164_48,46.247,16.665,48.392,18.019
164_49,45.93,15.22,48.058,16.577
164_50,45.616,13.776,47.728,15.134
