Placemark,LL Lon,LL Lat,UR Lon,UR Lat
170_31,43.135,41.121,45.943,42.382
170_32,42.706,39.69,45.447,40.96
170_33,42.288,38.258,44.969,39.536
170_34,41.882,36.825,44.506,38.111
170_35,41.487,35.39,44.057,36.684
171_31,41.59,41.121,44.398,42.382
171_32,41.16,39.69,43.902,40.96
171_33,40.743,38.258,43.424,39.536
171_34,40.337,36.825,42.961,38.111
171_35,39.942,35.39,42.512,36.684
172_31,40.045,41.121,42.853,42.382
172_32,39.615,39.69,42.357,40.96
172_33,39.198,38.258,41.878,39.536
172_34,38.792,36.825,41.416,38.111
172_35,38.397,35.39,40.967,36.684
173_31,38.5,41.121,41.308,42.382
173_32,38.07,39.69,40.812,40.96
173_33,37.653,38.258,40.333,39.536
173_34,37.247,36.825,39.871,38.111
173_35,36.852,35.39,39.422,36.684
174_31,36.955,41.121,39.763,42.382
174_32,36.525,39.69,39.267,40.96
174_33,36.108,38.258,38.788,39.536
174_34,35.702,36.825,38.326,38.111
174_35,35.307,35.39,37.877,36.684
