Placemark,LL Lon,LL Lat,UR Lon,UR Lat
10_31,-69.654,41.121,-66.846,42.382
10_32,-70.084,39.69,-67.342,40.96
10_33,-70.502,38.258,-67.821,39.536
10_34,-70.907,36.825,-68.284,38.111
10_35,-71.303,35.39,-68.732,36.684
11_31,-71.199,41.121,-68.391,42.382
11_32,-71.629,39.69,-68.887,40.96
11_33,-72.047,38.258,-69.366,39.536
11_34,-72.452,36.825,-69.829,38.111
11_35,-72.848,35.39,-70.277,36.684
12_31,-72.744,41.121,-69.937,42.382
12_32,-73.174,39.69,-70.433,40.96
12_33,-73.592,38.258,-70.911,39.536
12_34,-73.997,36.825,-71.374,38.111
12_35,-74.393,35.39,-71.822,36.684
13_31,-74.289,41.121,-71.482,42.382
13_32,-74.719,39.69,-71.978,40.96
13_33,-75.137,38.258,-72.456,39.536
13_34,-75.543,36.825,-72.919,38.111
13_35,-75.938,35.39,-73.367,36.684
14_31,-75.835,41.121,-73.027,42.382
14_32,-76.264,39.69,-73.523,40.96
14_33,-76.682,38.258,-74.001,39.536
14_34,-77.088,36.825,-74.464,38.111
14_35,-77.483,35.39,-74.913,36.684
