Placemark,LL Lon,LL Lat,UR Lon,UR Lat
195_31,4.509,41.121,7.317,42.382
195_32,4.079,39.69,6.821,40.96
195_33,3.662,38.258,6.342,39.536
195_34,3.256,36.825,5.879,38.111
195_35,2.86,35.39,5.431,36.684
196_31,2.964,41.121,5.772,42.382
196_32,2.534,39.69,5.276,40.96
196_33,2.117,38.258,4.797,39.536
196_34,1.711,36.825,4.334,38.111
196_35,1.315,35.39,3.886,36.684
197_31,1.419,41.121,4.227,42.382
197_32,0.989,39.69,3.731,40.96
197_33,0.571,38.258,3.252,39.536
197_34,0.166,36.825,2.789,38.111
197_35,-0.23,35.39,2.341,36.684
198_31,-0.126,41.121,2.681,42.382
198_32,-0.556,39.69,2.185,40.96
198_33,-0.974,38.258,1.707,39.536
198_34,-1.379,36.825,1.244,38.111
198_35,-1.775,35.39,0.796,36.684
199_31,-1.671,41.121,1.136,42.382
199_32,-2.101,39.69,0.64,40.96
199_33,-2.519,38.258,0.162,39.536
199_34,-2.924,36.825,-0.301,38.111
199_35,-3.32,35.39,-0.749,36.684
