Placemark,LL Lon,LL Lat,UR Lon,UR Lat
110_31,135.839,41.121,138.647,42.382
110_32,135.409,39.69,138.151,40.96
110_33,134.992,38.258,137.672,39.536
110_34,134.586,36.825,137.21,38.111
110_35,134.191,35.39,136.761,36.684
111_31,134.294,41.121,137.102,42.382
111_32,133.864,39.69,136.606,40.96
111_33,133.447,38.258,136.127,39.536
111_34,133.041,36.825,135.665,38.111
111_35,132.646,35.39,135.216,36.684
112_31,132.749,41.121,135.557,42.382
112_32,132.319,39.69,135.061,40.96
112_33,131.902,38.258,134.582,39.536
112_34,131.496,36.825,134.119,38.111
112_35,131.101,35.39,133.671,36.684
113_31,131.204,41.121,134.012,42.382
113_32,130.774,39.69,133.516,40.96
113_33,130.357,38.258,133.037,39.536
113_34,129.951,36.825,132.574,38.111
113_35,129.556,35.39,132.126,36.684
114_31,129.659,41.121,132.467,42.382
114_32,129.229,39.69,131.971,40.96
114_33,128.812,38.258,131.492,39.536
114_34,128.406,36.825,131.029,38.111
114_35,128.011,35.39,130.581,36.684
