Placemark,LL Lon,LL Lat,UR Lon,UR Lat
40_31,-116.006,41.121,-113.198,42.382
40_32,-116.436,39.69,-113.694,40.96
40_33,-116.853,38.258,-114.173,39.536
40_34,-117.259,36.825,-114.636,38.111
40_35,-117.655,35.39,-115.084,36.684
41_31,-117.551,41.121,-114.743,42.382
41_32,-117.981,39.69,-115.239,40.96
41_33,-118.398,38.258,-115.718,39.536
41_34,-118.804,36.825,-116.181,38.111
41_35,-119.2,35.39,-116.629,36.684
42_31,-119.096,41.121,-116.288,42.382
42_32,-119.526,39.69,-116.784,40.96
42_33,-119.944,38.258,-117.263,39.536
42_34,-120.349,36.825,-117.726,38.111
42_35,-120.745,35.39,-118.174,36.684
43_31,-120.641,41.121,-117.834,42.382
43_32,-121.071,39.69,-118.33,40.96
43_33,-121.489,38.258,-118.808,39.536
43_34,-121.894,36.825,-119.271,38.111
43_35,-122.29,35.39,-119.719,36.684
44_31,-122.186,41.121,-119.379,42.382
44_32,-122.616,39.69,-119.875,40.96
44_33,-123.034,38.258,-120.353,39.536
44_34,-123.439,36.825,-120.816,38.111
44_35,-123.835,35.39,-121.264,36.684
