Placemark,LL Lon,LL Lat,UR Lon,UR Lat
154_5,97.707,76.927,108.412,77.061
152_5,100.797,76.927,111.502,77.061
150_5,103.887,76.927,114.593,77.061
158_5,91.527,76.927,102.232,77.061
155_4,100.187,78.095,111.853,78.048
157_5,93.072,76.927,103.777,77.061
155_5,96.162,76.927,106.867,77.061
160_5,88.437,76.927,99.142,77.061
160_4,92.461,78.095,104.127,78.048
165_5,80.712,76.927,91.417,77.061
166_2,93.87,80.211,107.371,79.699
165_4,84.736,78.095,96.402,78.048
165_3,89.571,79.196,102.206,78.936
165_2,95.415,80.211,108.916,79.699
170_2,87.69,80.211,101.191,79.699
172_1,91.669,81.107,105.741,80.307
172_2,84.6,80.211,98.101,79.699
174_5,66.806,76.927,77.511,77.061
175_1,87.034,81.107,101.106,80.307
175_5,65.261,76.927,75.966,77.061
