Placemark,LL Lon,LL Lat,UR Lon,UR Lat
65_5,-124.782,76.927,-114.077,77.061
65_4,-120.758,78.095,-109.092,78.048
65_3,-115.923,79.196,-103.288,78.936
65_1,-103.009,81.107,-88.937,80.307
63_5,-121.692,76.927,-110.987,77.061
63_2,-106.988,80.211,-93.487,79.699
61_5,-118.602,76.927,-107.897,77.061
61_4,-114.577,78.095,-102.911,78.048
61_3,-109.743,79.196,-97.107,78.936
61_2,-103.898,80.211,-90.397,79.699
61_1,-96.829,81.107,-82.756,80.307
46_1,-73.653,81.107,-59.58,80.307
46_2,-80.722,80.211,-67.221,79.699
46_4,-91.401,78.095,-79.735,78.048
46_5,-95.426,76.927,-84.721,77.061
48_1,-76.743,81.107,-62.671,80.307
48_5,-98.516,76.927,-87.811,77.061
51_1,-81.378,81.107,-67.306,80.307
51_5,-103.151,76.927,-92.446,77.061
53_1,-84.468,81.107,-70.396,80.307
53_5,-106.241,76.927,-95.536,77.061
55_1,-87.558,81.107,-73.486,80.307
55_5,-109.331,76.927,-98.626,77.061
57_1,-90.649,81.107,-76.576,80.307
57_2,-97.718,80.211,-84.217,79.699
57_3,-103.562,79.196,-90.927,78.936
57_4,-108.397,78.095,-96.731,78.048
57_5,-112.422,76.927,-101.716,77.061
60_1,-95.284,81.107,-81.211,80.307
