Placemark,LL Lon,LL Lat,UR Lon,UR Lat
121_6,145.313,75.711,155.121,75.996
121_7,142.441,74.456,151.44,74.868
121_8,139.977,73.172,148.254,73.692
121_9,137.839,71.865,145.481,72.476
121_10,135.967,70.539,143.05,71.228
124_6,140.678,75.711,150.486,75.996
124_7,137.806,74.456,146.804,74.868
124_7,137.806,74.456,146.804,74.868
124_8,135.342,73.172,143.619,73.692
124_9,133.204,71.865,140.846,72.476
124_10,131.332,70.539,138.415,71.228
127_6,136.042,75.711,145.851,75.996
127_9,128.569,71.865,136.211,72.476
127_10,126.697,70.539,133.78,71.228
129_6,132.952,75.711,142.761,75.996
129_7,130.081,74.456,139.079,74.868
129_9,125.479,71.865,133.121,72.476
