Placemark,LL Lon,LL Lat,UR Lon,UR Lat
144_7,106.905,74.456,115.903,74.868
144_6,109.776,75.711,119.585,75.996
140_8,110.62,73.172,118.898,73.692
139_8,112.166,73.172,120.443,73.692
135_8,118.346,73.172,126.623,73.692
149_6,102.051,75.711,111.86,75.996
145_6,108.231,75.711,118.04,75.996
130_8,126.071,73.172,134.349,73.692
130_9,123.934,71.865,131.576,72.476
134_8,119.891,73.172,128.169,73.692
134_9,117.753,71.865,125.395,72.476
