Placemark,LL Lon,LL Lat,UR Lon,UR Lat
35_10,-91.157,70.539,-84.075,71.228
36_6,-83.357,75.711,-73.548,75.996
36_7,-86.228,74.456,-77.23,74.868
36_8,-88.693,73.172,-80.415,73.692
36_9,-90.83,71.865,-83.188,72.476
36_10,-92.702,70.539,-85.62,71.228
38_8,-91.783,73.172,-83.505,73.692
38_9,-93.92,71.865,-86.278,72.476
40_6,-89.537,75.711,-79.728,75.996
40_7,-92.408,74.456,-83.41,74.868
40_8,-94.873,73.172,-86.595,73.692
40_9,-97.011,71.865,-89.369,72.476
40_10,-98.883,70.539,-91.8,71.228
