Placemark,LL Lon,LL Lat,UR Lon,UR Lat
30_10,-83.432,70.539,-76.349,71.228
30_9,-81.56,71.865,-73.918,72.476
30_8,-79.422,73.172,-71.145,73.692
30_6,-74.086,75.711,-64.278,75.996
26_10,-77.252,70.539,-70.169,71.228
26_9,-75.38,71.865,-67.738,72.476
26_6,-67.906,75.711,-58.098,75.996
25_10,-75.707,70.539,-68.624,71.228
23_10,-72.616,70.539,-65.534,71.228
21_7,-63.052,74.456,-54.054,74.868
16_8,-57.792,73.172,-49.514,73.692
11_10,-54.076,70.539,-46.993,71.228
13_10,-57.166,70.539,-50.083,71.228
15_9,-58.384,71.865,-50.742,72.476
