Placemark,LL Lon,LL Lat,UR Lon,UR Lat
110_56,127.194,5.101,129.245,6.468
110_57,126.888,3.654,128.934,5.023
110_58,126.582,2.208,128.624,3.577
110_59,126.275,0.762,128.316,2.131
110_60,125.968,-0.685,128.008,0.685
111_56,125.649,5.101,127.7,6.468
111_57,125.343,3.654,127.389,5.023
111_58,125.036,2.208,127.079,3.577
111_59,124.73,0.762,126.77,2.131
111_60,124.423,-0.685,126.463,0.685
112_56,124.104,5.101,126.155,6.468
112_57,123.798,3.654,125.844,5.023
112_58,123.491,2.208,125.534,3.577
112_59,123.185,0.762,125.225,2.131
112_60,122.878,-0.685,124.918,0.685
113_56,122.559,5.101,124.61,6.468
113_59,121.64,0.762,123.68,2.131
113_60,121.333,-0.685,123.373,0.685
114_56,121.014,5.101,123.065,6.468
114_59,120.095,0.762,122.135,2.131
114_60,119.788,-0.685,121.828,0.685
