Placemark,LL Lon,LL Lat,UR Lon,UR Lat
190_56,3.589,5.101,5.64,6.468
191_56,2.044,5.101,4.095,6.468
192_56,0.499,5.101,2.55,6.468
193_56,-1.046,5.101,1.005,6.468
193_57,-1.352,3.654,0.694,5.023
194_56,-2.591,5.101,-0.54,6.468
194_57,-2.898,3.654,-0.851,5.023
