Placemark,LL Lon,LL Lat,UR Lon,UR Lat
120_56,111.744,5.101,113.795,6.468
120_58,111.131,2.208,113.173,3.577
120_59,110.824,0.762,112.865,2.131
121_56,110.199,5.101,112.25,6.468
121_58,109.586,2.208,111.628,3.577
121_59,109.279,0.762,111.32,2.131
121_60,108.972,-0.685,111.012,0.685
122_58,108.041,2.208,110.083,3.577
122_59,107.734,0.762,109.775,2.131
122_60,107.427,-0.685,109.467,0.685
123_57,106.802,3.654,108.848,5.023
123_58,106.496,2.208,108.538,3.577
123_59,106.189,0.762,108.23,2.131
124_58,104.951,2.208,106.993,3.577
124_59,104.644,0.762,106.685,2.131
124_60,104.337,-0.685,106.377,0.685
