Placemark,LL Lon,LL Lat,UR Lon,UR Lat
6_15,-53.096,63.727,-47.968,64.68
8_13,-53.895,66.48,-48.123,67.347
7_15,-54.641,63.727,-49.513,64.68
8_14,-55.094,65.108,-49.662,66.02
10_12,-55.66,67.844,-49.504,68.66
10_11,-54.185,69.198,-47.595,69.955
12_11,-57.275,69.198,-50.685,69.955
15_13,-64.711,66.48,-58.938,67.347
15_15,-67.002,63.727,-61.873,64.68
15_14,-65.91,65.108,-60.478,66.02
10_13,-56.985,66.48,-51.213,67.347
17_11,-65.001,69.198,-58.41,69.955
17_12,-66.476,67.844,-60.319,68.66
17_13,-67.801,66.48,-62.028,67.347
17_14,-69.0,65.108,-63.568,66.02
17_15,-70.092,63.727,-64.963,64.68
18_13,-69.346,66.48,-63.573,67.347
18_14,-70.545,65.108,-65.113,66.02
18_15,-71.637,63.727,-66.508,64.68
20_11,-69.636,69.198,-63.045,69.955
20_12,-71.111,67.844,-64.954,68.66
20_13,-72.436,66.48,-66.663,67.347
20_14,-73.635,65.108,-68.203,66.02
20_15,-74.727,63.727,-69.598,64.68
