Placemark,LL Lon,LL Lat,UR Lon,UR Lat
186_11,33.883,69.198,40.474,69.955
186_12,32.408,67.844,38.565,68.66
186_13,31.083,66.48,36.856,67.347
186_14,29.884,65.108,35.316,66.02
186_15,28.792,63.727,33.921,64.68
187_11,32.338,69.198,38.929,69.955
187_12,30.863,67.844,37.02,68.66
187_13,29.538,66.48,35.311,67.347
187_14,28.339,65.108,33.771,66.02
187_15,27.247,63.727,32.376,64.68
188_11,30.793,69.198,37.384,69.955
188_12,29.318,67.844,35.475,68.66
188_13,27.993,66.48,33.766,67.347
188_14,26.794,65.108,32.226,66.02
188_15,25.702,63.727,30.831,64.68
189_11,29.248,69.198,35.839,69.955
189_12,27.773,67.844,33.93,68.66
189_13,26.448,66.48,32.221,67.347
189_14,25.249,65.108,30.681,66.02
189_15,24.157,63.727,29.286,64.68
190_11,27.703,69.198,34.294,69.955
190_12,26.228,67.844,32.385,68.66
190_13,24.903,66.48,30.676,67.347
190_14,23.704,65.108,29.136,66.02
190_15,22.612,63.727,27.741,64.68
