Placemark,LL Lon,LL Lat,UR Lon,UR Lat
176_11,49.334,69.198,55.924,69.955
176_12,47.859,67.844,54.016,68.66
176_13,46.534,66.48,52.307,67.347
176_14,45.335,65.108,50.767,66.02
176_15,44.243,63.727,49.371,64.68
177_11,47.789,69.198,54.379,69.955
177_12,46.314,67.844,52.47,68.66
177_13,44.989,66.48,50.762,67.347
177_14,43.79,65.108,49.222,66.02
177_15,42.698,63.727,47.826,64.68
178_11,46.244,69.198,52.834,69.955
178_12,44.769,67.844,50.925,68.66
178_13,43.444,66.48,49.217,67.347
178_14,42.245,65.108,47.677,66.02
178_15,41.153,63.727,46.281,64.68
179_11,44.699,69.198,51.289,69.955
179_12,43.224,67.844,49.38,68.66
179_13,41.899,66.48,47.671,67.347
179_14,40.7,65.108,46.132,66.02
179_15,39.607,63.727,44.736,64.68
180_11,43.154,69.198,49.744,69.955
180_12,41.679,67.844,47.835,68.66
180_13,40.354,66.48,46.126,67.347
180_14,39.155,65.108,44.587,66.02
180_15,38.062,63.727,43.191,64.68
