Placemark,LL Lon,LL Lat,UR Lon,UR Lat
25_113,-143.129,-74.868,-134.131,-74.456
23_113,-140.039,-74.868,-131.04,-74.456
21_113,-136.949,-74.868,-127.95,-74.456
21_112,-133.763,-73.692,-125.486,-73.172
29_114,-152.991,-75.996,-143.182,-75.711
30_113,-150.854,-74.868,-141.856,-74.456
30_114,-154.536,-75.996,-144.727,-75.711
30_115,-158.814,-77.061,-148.109,-76.927
29_113,-149.309,-74.868,-140.311,-74.456
27_113,-146.219,-74.868,-137.221,-74.456
26_113,-144.674,-74.868,-135.676,-74.456
60_111,168.752,-72.476,176.394,-71.865
60_112,165.979,-73.692,174.257,-73.172
60_113,162.794,-74.868,171.792,-74.456
60_114,159.112,-75.996,168.921,-75.711
61_111,167.207,-72.476,174.849,-71.865
61_112,164.434,-73.692,172.712,-73.172
61_113,161.249,-74.868,170.247,-74.456
61_114,157.567,-75.996,167.376,-75.711
