Placemark,LL Lon,LL Lat,UR Lon,UR Lat
206_113,-62.785,-74.868,-53.787,-74.456
207_113,-64.331,-74.868,-55.332,-74.456
208_112,-62.69,-73.692,-54.413,-73.172
208_113,-65.876,-74.868,-56.877,-74.456
209_111,-61.462,-72.476,-53.82,-71.865
209_112,-64.236,-73.692,-55.958,-73.172
209_113,-67.421,-74.868,-58.422,-74.456
