Placemark,LL Lon,LL Lat,UR Lon,UR Lat
140_106,54.883,-66.02,60.315,-65.108
141_106,53.338,-66.02,58.77,-65.108
142_106,51.793,-66.02,57.225,-65.108
143_106,50.248,-66.02,55.68,-65.108
144_106,48.702,-66.02,54.135,-65.108
145_106,47.157,-66.02,52.59,-65.108
145_107,45.618,-67.347,51.39,-66.48
146_107,44.073,-67.347,49.845,-66.48
147_107,42.528,-67.347,48.3,-66.48
147_108,40.819,-68.66,46.975,-67.844
148_107,40.983,-67.347,46.755,-66.48
148_108,39.274,-68.66,45.43,-67.844
148_109,37.365,-69.955,43.955,-69.198
149_108,37.729,-68.66,43.885,-67.844
