Placemark,LL Lon,LL Lat,UR Lon,UR Lat
114_106,95.054,-66.02,100.487,-65.108
113_106,96.599,-66.02,102.032,-65.108
112_106,98.145,-66.02,103.577,-65.108
111_106,99.69,-66.02,105.122,-65.108
110_106,101.235,-66.02,106.667,-65.108
115_106,93.509,-66.02,98.941,-65.108
116_106,91.964,-66.02,97.396,-65.108
116_107,90.425,-67.347,96.197,-66.48
117_106,90.419,-66.02,95.851,-65.108
117_107,88.88,-67.347,94.652,-66.48
118_106,88.874,-66.02,94.306,-65.108
119_106,87.329,-66.02,92.761,-65.108
