Placemark,LL Lon,LL Lat,UR Lon,UR Lat
100_106,116.685,-66.02,122.117,-65.108
100_107,115.146,-67.347,120.918,-66.48
101_107,113.601,-67.347,119.373,-66.48
102_106,113.595,-66.02,119.027,-65.108
103_106,112.05,-66.02,117.482,-65.108
104_106,110.505,-66.02,115.937,-65.108
