Placemark,LL Lon,LL Lat,UR Lon,UR Lat
212_110,-63.666,-71.228,-56.584,-70.539
213_110,-65.211,-71.228,-58.129,-70.539
214_108,-62.701,-68.66,-56.544,-67.844
214_108,-62.701,-68.66,-56.544,-67.844
214_109,-64.609,-69.955,-58.019,-69.198
216_107,-64.082,-67.347,-58.309,-66.48
215_107,-62.537,-67.347,-56.764,-66.48
215_109,-66.155,-69.955,-59.564,-69.198
215_108,-64.246,-68.66,-58.089,-67.844
215_108,-64.246,-68.66,-58.089,-67.844
217_106,-64.087,-66.02,-58.655,-65.108
217_106,-64.087,-66.02,-58.655,-65.108
215_106,-60.997,-66.02,-55.565,-65.108
219_109,-72.335,-69.955,-65.744,-69.198
219_108,-70.426,-68.66,-64.269,-67.844
219_107,-68.717,-67.347,-62.944,-66.48
219_107,-68.717,-67.347,-62.944,-66.48
219_107,-68.717,-67.347,-62.944,-66.48
220_106,-68.722,-66.02,-63.29,-65.108
220_107,-70.262,-67.347,-64.489,-66.48
220_108,-71.971,-68.66,-65.814,-67.844
221_106,-70.267,-66.02,-64.835,-65.108
221_107,-71.807,-67.347,-66.034,-66.48
221_108,-73.516,-68.66,-67.36,-67.844
221_109,-75.425,-69.955,-68.834,-69.198
221_110,-77.572,-71.228,-70.489,-70.539
223_109,-78.515,-69.955,-71.925,-69.198
223_110,-80.662,-71.228,-73.579,-70.539
