Placemark,LL Lon,LL Lat,UR Lon,UR Lat
69_109,159.425,-69.955,166.015,-69.198
68_109,160.97,-69.955,167.56,-69.198
67_109,162.515,-69.955,169.105,-69.198
65_110,163.458,-71.228,170.541,-70.539
74_108,153.608,-68.66,159.765,-67.844
73_108,155.154,-68.66,161.31,-67.844
71_109,156.335,-69.955,162.925,-69.198
70_109,157.88,-69.955,164.47,-69.198
75_108,152.063,-68.66,158.22,-67.844
76_108,150.518,-68.66,156.675,-67.844
77_108,148.973,-68.66,155.13,-67.844
78_108,147.428,-68.66,153.585,-67.844
79_108,145.883,-68.66,152.04,-67.844
