Placemark,LL Lon,LL Lat,UR Lon,UR Lat
170_109,3.373,-69.955,9.964,-69.198
169_109,4.918,-69.955,11.509,-69.198
168_109,6.463,-69.955,13.054,-69.198
167_109,8.009,-69.955,14.599,-69.198
166_109,9.554,-69.955,16.144,-69.198
165_109,11.099,-69.955,17.689,-69.198
160_109,18.824,-69.955,25.414,-69.198
161_109,17.279,-69.955,23.869,-69.198
162_109,15.734,-69.955,22.324,-69.198
163_109,14.189,-69.955,20.779,-69.198
164_109,12.644,-69.955,19.234,-69.198
