Placemark,LL Lon,LL Lat,UR Lon,UR Lat
16_51,-86.027,12.33,-83.929,13.691
16_52,-86.338,10.885,-84.252,12.247
16_53,-86.647,9.439,-84.573,10.803
17_51,-87.572,12.33,-85.474,13.691
17_52,-87.883,10.885,-85.797,12.247
17_53,-88.192,9.439,-86.118,10.803
18_51,-89.117,12.33,-87.019,13.691
18_52,-89.428,10.885,-87.343,12.247
19_51,-90.662,12.33,-88.564,13.691
20_51,-92.208,12.33,-90.109,13.691
