Placemark,LL Lon,LL Lat,UR Lon,UR Lat
85_51,167.363,12.33,169.461,13.691
85_52,167.053,10.885,169.138,12.247
85_53,166.743,9.439,168.818,10.803
85_54,166.435,7.993,168.5,9.358
85_55,166.128,6.547,168.185,7.913
86_51,165.818,12.33,167.916,13.691
86_52,165.507,10.885,167.593,12.247
86_53,165.198,9.439,167.273,10.803
86_54,164.89,7.993,166.955,9.358
86_55,164.583,6.547,166.64,7.913
87_51,164.273,12.33,166.371,13.691
87_52,163.962,10.885,166.048,12.247
87_53,163.653,9.439,165.728,10.803
87_54,163.345,7.993,165.41,9.358
87_55,163.037,6.547,165.095,7.913
88_51,162.728,12.33,164.826,13.691
88_52,162.417,10.885,164.503,12.247
88_53,162.108,9.439,164.183,10.803
88_54,161.8,7.993,163.865,9.358
88_55,161.492,6.547,163.55,7.913
89_51,161.183,12.33,163.281,13.691
89_52,160.872,10.885,162.958,12.247
89_53,160.563,9.439,162.638,10.803
89_54,160.255,7.993,162.32,9.358
89_55,159.947,6.547,162.005,7.913
90_51,159.638,12.33,161.736,13.691
90_52,159.327,10.885,161.413,12.247
90_53,159.018,9.439,161.093,10.803
90_54,158.71,7.993,160.775,9.358
90_55,158.402,6.547,160.46,7.913
