Placemark,LL Lon,LL Lat,UR Lon,UR Lat
11_53,-78.922,9.439,-76.847,10.803
11_54,-79.23,7.993,-77.165,9.358
11_55,-79.538,6.547,-77.48,7.913
12_52,-80.158,10.885,-78.072,12.247
12_53,-80.467,9.439,-78.392,10.803
12_54,-80.775,7.993,-78.71,9.358
12_55,-81.083,6.547,-79.025,7.913
13_51,-81.392,12.33,-79.294,13.691
13_52,-81.703,10.885,-79.617,12.247
13_54,-82.32,7.993,-80.255,9.358
13_55,-82.628,6.547,-80.57,7.913
14_51,-82.937,12.33,-80.839,13.691
14_52,-83.248,10.885,-81.162,12.247
14_53,-83.557,9.439,-81.483,10.803
14_54,-83.865,7.993,-81.8,9.358
14_55,-84.173,6.547,-82.115,7.913
15_51,-84.482,12.33,-82.384,13.691
15_52,-84.793,10.885,-82.707,12.247
15_53,-85.102,9.439,-83.028,10.803
15_54,-85.411,7.993,-83.345,9.358
