Placemark,LL Lon,LL Lat,UR Lon,UR Lat
125_52,105.25,10.885,107.336,12.247
125_53,104.941,9.439,107.015,10.803
125_54,104.632,7.993,106.698,9.358
126_52,103.705,10.885,105.79,12.247
126_53,103.396,9.439,105.47,10.803
126_54,103.087,7.993,105.153,9.358
127_51,102.471,12.33,104.569,13.691
127_52,102.16,10.885,104.245,12.247
127_53,101.85,9.439,103.925,10.803
127_55,101.235,6.547,103.292,7.913
128_51,100.926,12.33,103.024,13.691
128_52,100.615,10.885,102.7,12.247
128_54,99.997,7.993,102.063,9.358
128_55,99.69,6.547,101.747,7.913
129_51,99.38,12.33,101.479,13.691
129_52,99.07,10.885,101.155,12.247
129_53,98.76,9.439,100.835,10.803
129_54,98.452,7.993,100.517,9.358
129_55,98.145,6.547,100.202,7.913
