Placemark,LL Lon,LL Lat,UR Lon,UR Lat
146_51,73.114,12.33,75.212,13.691
145_52,74.349,10.885,76.434,12.247
145_51,74.659,12.33,76.758,13.691
140_54,81.456,7.993,83.522,9.358
140_55,81.149,6.547,83.207,7.913
141_53,80.22,9.439,82.294,10.803
141_54,79.911,7.993,81.977,9.358
141_55,79.604,6.547,81.661,7.913
142_51,79.295,12.33,81.393,13.691
142_52,78.984,10.885,81.069,12.247
142_53,78.674,9.439,80.749,10.803
142_54,78.366,7.993,80.432,9.358
142_55,78.059,6.547,80.116,7.913
143_51,77.75,12.33,79.848,13.691
143_52,77.439,10.885,79.524,12.247
143_53,77.129,9.439,79.204,10.803
143_54,76.821,7.993,78.887,9.358
143_55,76.514,6.547,78.571,7.913
144_51,76.204,12.33,78.303,13.691
144_52,75.894,10.885,77.979,12.247
144_53,75.584,9.439,77.659,10.803
144_54,75.276,7.993,77.342,9.358
