Placemark,LL Lon,LL Lat,UR Lon,UR Lat
6_51,-70.577,12.33,-68.479,13.691
6_52,-70.887,10.885,-68.802,12.247
6_53,-71.197,9.439,-69.122,10.803
6_54,-71.505,7.993,-69.44,9.358
7_51,-72.122,12.33,-70.024,13.691
7_52,-72.432,10.885,-70.347,12.247
7_53,-72.742,9.439,-70.667,10.803
7_54,-73.05,7.993,-70.985,9.358
7_55,-73.357,6.547,-71.3,7.913
8_51,-73.667,12.33,-71.569,13.691
8_52,-73.978,10.885,-71.892,12.247
8_53,-74.287,9.439,-72.212,10.803
8_54,-74.595,7.993,-72.53,9.358
8_55,-74.902,6.547,-72.845,7.913
9_52,-75.523,10.885,-73.437,12.247
9_53,-75.832,9.439,-73.757,10.803
9_54,-76.14,7.993,-74.075,9.358
9_55,-76.447,6.547,-74.39,7.913
10_53,-77.377,9.439,-75.302,10.803
10_54,-77.685,7.993,-75.62,9.358
10_55,-77.993,6.547,-75.935,7.913
