Placemark,LL Lon,LL Lat,UR Lon,UR Lat
10_36,-71.688,33.955,-69.167,35.255
10_37,-72.065,32.518,-69.59,33.825
10_38,-72.434,31.081,-70.002,32.393
10_39,-72.796,29.642,-70.403,30.96
10_40,-73.151,28.203,-70.795,29.526
11_36,-73.233,33.955,-70.712,35.255
11_37,-73.61,32.518,-71.135,33.825
11_38,-73.979,31.081,-71.547,32.393
11_39,-74.341,29.642,-71.948,30.96
11_40,-74.696,28.203,-72.34,29.526
12_36,-74.779,33.955,-72.257,35.255
12_37,-75.156,32.518,-72.68,33.825
12_38,-75.525,31.081,-73.092,32.393
12_39,-75.886,29.642,-73.493,30.96
12_40,-76.241,28.203,-73.885,29.526
13_36,-76.324,33.955,-73.803,35.255
13_37,-76.701,32.518,-74.225,33.825
13_38,-77.07,31.081,-74.637,32.393
13_39,-77.431,29.642,-75.038,30.96
13_40,-77.786,28.203,-75.43,29.526
14_36,-77.869,33.955,-75.348,35.255
14_37,-78.246,32.518,-75.77,33.825
14_38,-78.615,31.081,-76.182,32.393
14_39,-78.976,29.642,-76.584,30.96
14_40,-79.331,28.203,-76.975,29.526
