Placemark,LL Lon,LL Lat,UR Lon,UR Lat
115_36,126.08,33.955,128.601,35.255
115_37,125.703,32.518,128.178,33.825
115_38,125.334,31.081,127.766,32.393
115_39,124.972,29.642,127.365,30.96
115_40,124.617,28.203,126.973,29.526
116_36,124.535,33.955,127.056,35.255
116_37,124.158,32.518,126.633,33.825
116_38,123.789,31.081,126.221,32.393
116_39,123.427,29.642,125.82,30.96
116_40,123.072,28.203,125.428,29.526
117_36,122.99,33.955,125.511,35.255
117_37,122.613,32.518,125.088,33.825
117_38,122.244,31.081,124.676,32.393
117_39,121.882,29.642,124.275,30.96
117_40,121.527,28.203,123.883,29.526
118_36,121.445,33.955,123.966,35.255
118_37,121.068,32.518,123.543,33.825
118_38,120.699,31.081,123.131,32.393
118_39,120.337,29.642,122.73,30.96
118_40,119.982,28.203,122.338,29.526
119_36,119.9,33.955,122.421,35.255
119_37,119.523,32.518,121.998,33.825
119_38,119.154,31.081,121.586,32.393
119_39,118.792,29.642,121.185,30.96
119_40,118.437,28.203,120.793,29.526
