Placemark,LL Lon,LL Lat,UR Lon,UR Lat
185_36,17.925,33.955,20.446,35.255
185_37,17.548,32.518,20.024,33.825
185_38,17.179,31.081,19.612,32.393
185_39,16.818,29.642,19.21,30.96
185_40,16.463,28.203,18.819,29.526
186_36,16.38,33.955,18.901,35.255
186_37,16.003,32.518,18.478,33.825
186_38,15.634,31.081,18.067,32.393
186_39,15.273,29.642,17.665,30.96
186_40,14.918,28.203,17.274,29.526
187_36,14.835,33.955,17.356,35.255
187_37,14.458,32.518,16.933,33.825
187_38,14.089,31.081,16.522,32.393
187_39,13.728,29.642,16.12,30.96
187_40,13.372,28.203,15.728,29.526
188_36,13.29,33.955,15.811,35.255
188_37,12.913,32.518,15.388,33.825
188_38,12.544,31.081,14.977,32.393
188_39,12.182,29.642,14.575,30.96
188_40,11.827,28.203,14.183,29.526
189_36,11.745,33.955,14.266,35.255
189_37,11.368,32.518,13.843,33.825
189_38,10.999,31.081,13.432,32.393
189_39,10.637,29.642,13.03,30.96
189_40,10.282,28.203,12.638,29.526
