Placemark,LL Lon,LL Lat,UR Lon,UR Lat
180_36,25.651,33.955,28.172,35.255
180_37,25.274,32.518,27.749,33.825
180_38,24.905,31.081,27.337,32.393
180_39,24.543,29.642,26.936,30.96
180_40,24.188,28.203,26.544,29.526
181_36,24.106,33.955,26.627,35.255
181_37,23.729,32.518,26.204,33.825
181_38,23.36,31.081,25.792,32.393
181_39,22.998,29.642,25.391,30.96
181_40,22.643,28.203,24.999,29.526
182_36,22.561,33.955,25.082,35.255
182_37,22.184,32.518,24.659,33.825
182_38,21.815,31.081,24.247,32.393
182_39,21.453,29.642,23.846,30.96
182_40,21.098,28.203,23.454,29.526
183_36,21.015,33.955,23.537,35.255
183_37,20.638,32.518,23.114,33.825
183_38,20.269,31.081,22.702,32.393
183_39,19.908,29.642,22.301,30.96
183_40,19.553,28.203,21.909,29.526
184_36,19.47,33.955,21.991,35.255
184_37,19.093,32.518,21.569,33.825
184_38,18.724,31.081,21.157,32.393
184_39,18.363,29.642,20.756,30.96
184_40,18.008,28.203,20.364,29.526
