Placemark,LL Lon,LL Lat,UR Lon,UR Lat
15_36,-79.414,33.955,-76.893,35.255
15_37,-79.791,32.518,-77.316,33.825
15_38,-80.16,31.081,-77.727,32.393
15_39,-80.521,29.642,-78.129,30.96
15_40,-80.876,28.203,-78.52,29.526
16_36,-80.959,33.955,-78.438,35.255
16_37,-81.336,32.518,-78.861,33.825
16_38,-81.705,31.081,-79.272,32.393
16_39,-82.066,29.642,-79.674,30.96
16_40,-82.422,28.203,-80.066,29.526
17_36,-82.504,33.955,-79.983,35.255
17_37,-82.881,32.518,-80.406,33.825
17_38,-83.25,31.081,-80.817,32.393
17_39,-83.612,29.642,-81.219,30.96
17_40,-83.967,28.203,-81.611,29.526
18_36,-84.049,33.955,-81.528,35.255
18_37,-84.426,32.518,-81.951,33.825
18_38,-84.795,31.081,-82.362,32.393
18_39,-85.157,29.642,-82.764,30.96
18_40,-85.512,28.203,-83.156,29.526
19_36,-85.594,33.955,-83.073,35.255
19_37,-85.971,32.518,-83.496,33.825
19_38,-86.34,31.081,-83.907,32.393
19_39,-86.702,29.642,-84.309,30.96
19_40,-87.057,28.203,-84.701,29.526
