Placemark,LL Lon,LL Lat,UR Lon,UR Lat
195_21,9.87,55.337,13.725,56.457
195_22,9.212,53.925,12.917,55.065
196_21,8.325,55.337,12.18,56.457
196_22,7.666,53.925,11.372,55.065
197_21,6.78,55.337,10.635,56.457
197_22,6.121,53.925,9.827,55.065
197_23,5.498,52.511,9.068,53.669
198_21,5.235,55.337,9.09,56.457
198_22,4.576,53.925,8.282,55.065
198_23,3.953,52.511,7.523,53.669
198_24,3.362,51.094,6.807,52.269
199_23,2.408,52.511,5.978,53.669
199_24,1.817,51.094,5.262,52.269
