Placemark,LL Lon,LL Lat,UR Lon,UR Lat
205_21,-5.581,55.337,-1.726,56.457
205_22,-6.239,53.925,-2.533,55.065
205_23,-6.862,52.511,-3.292,53.669
205_24,-7.453,51.094,-4.008,52.269
205_25,-8.016,49.675,-4.685,50.865
206_21,-7.126,55.337,-3.271,56.457
206_22,-7.784,53.925,-4.078,55.065
206_23,-8.407,52.511,-4.837,53.669
206_24,-8.998,51.094,-5.553,52.269
207_22,-9.329,53.925,-5.623,55.065
207_23,-9.952,52.511,-6.382,53.669
207_24,-10.543,51.094,-7.098,52.269
208_21,-10.216,55.337,-6.361,56.457
208_22,-10.874,53.925,-7.168,55.065
208_23,-11.497,52.511,-7.927,53.669
208_24,-12.089,51.094,-8.643,52.269
