Placemark,LL Lon,LL Lat,UR Lon,UR Lat
56_21,-135.366,55.337,-131.511,56.457
56_22,-136.024,53.925,-132.319,55.065
56_23,-136.647,52.511,-133.078,53.669
56_24,-137.239,51.094,-133.793,52.269
56_25,-137.802,49.675,-134.471,50.865
57_21,-136.911,55.337,-133.056,56.457
57_22,-137.57,53.925,-133.864,55.065
57_23,-138.193,52.511,-134.623,53.669
57_24,-138.784,51.094,-135.338,52.269
57_25,-139.347,49.675,-136.016,50.865
58_21,-138.456,55.337,-134.601,56.457
58_22,-139.115,53.925,-135.409,55.065
58_23,-139.738,52.511,-136.168,53.669
58_24,-140.329,51.094,-136.884,52.269
58_25,-140.892,49.675,-137.561,50.865
59_21,-140.001,55.337,-136.147,56.457
59_22,-140.66,53.925,-136.954,55.065
59_23,-141.283,52.511,-137.713,53.669
59_24,-141.874,51.094,-138.429,52.269
59_25,-142.437,49.675,-139.106,50.865
60_21,-141.546,55.337,-137.692,56.457
60_22,-142.205,53.925,-138.499,55.065
60_23,-142.828,52.511,-139.258,53.669
60_24,-143.419,51.094,-139.974,52.269
60_25,-143.982,49.675,-140.651,50.865
