Placemark,LL Lon,LL Lat,UR Lon,UR Lat
182_66,12.858,-9.358,14.923,-7.993
182_67,12.54,-10.803,14.615,-9.439
182_68,12.22,-12.247,14.305,-10.885
182_69,11.897,-13.691,13.995,-12.33
182_70,11.57,-15.134,13.682,-13.776
183_66,11.313,-9.358,13.378,-7.993
