Placemark,LL Lon,LL Lat,UR Lon,UR Lat
90_84,148.551,-35.255,151.072,-33.955
90_85,148.116,-36.684,150.686,-35.39
85_82,157.111,-32.393,159.543,-31.081
88_81,152.877,-30.96,155.27,-29.642
88_82,152.476,-32.393,154.908,-31.081
89_81,151.332,-30.96,153.725,-29.642
89_82,150.931,-32.393,153.363,-31.081
89_83,150.519,-33.825,152.994,-32.518
89_84,150.096,-35.255,152.617,-33.955
89_85,149.661,-36.684,152.231,-35.39
