Placemark,LL Lon,LL Lat,UR Lon,UR Lat
115_61,117.935,-2.131,119.976,-0.762
115_62,117.627,-3.577,119.669,-2.208
115_63,117.317,-5.023,119.363,-3.654
115_65,116.692,-7.913,118.75,-6.547
116_61,116.39,-2.131,118.431,-0.762
116_62,116.081,-3.577,118.124,-2.208
116_63,115.772,-5.023,117.818,-3.654
116_65,115.147,-7.913,117.205,-6.547
117_62,114.536,-3.577,116.579,-2.208
117_63,114.227,-5.023,116.273,-3.654
117_64,113.915,-6.468,115.966,-5.101
117_65,113.602,-7.913,115.66,-6.547
118_62,112.991,-3.577,115.034,-2.208
118_64,112.37,-6.468,114.421,-5.101
118_65,112.057,-7.913,114.114,-6.547
119_62,111.446,-3.577,113.489,-2.208
119_64,110.825,-6.468,112.876,-5.101
119_65,110.512,-7.913,112.569,-6.547
