Placemark,LL Lon,LL Lat,UR Lon,UR Lat
125_61,102.484,-2.131,104.525,-0.762
125_63,101.866,-5.023,103.912,-3.654
125_64,101.555,-6.468,103.606,-5.101
126_62,100.631,-3.577,102.673,-2.208
127_61,99.394,-2.131,101.435,-0.762
127_62,99.086,-3.577,101.128,-2.208
128_61,97.849,-2.131,99.89,-0.762
