Placemark,LL Lon,LL Lat,UR Lon,UR Lat
98_72,140.691,-18.019,142.836,-16.665
98_71,141.025,-16.577,143.153,-15.22
99_72,139.146,-18.019,141.291,-16.665
100_71,137.935,-16.577,140.063,-15.22
100_72,137.601,-18.019,139.746,-16.665
101_71,136.39,-16.577,138.518,-15.22
102_71,134.845,-16.577,136.973,-15.22
